"en","ko"
"Fine tune the permitted actions which are allowed to Users for each role.","각 역할의 사용자에게 허용할 기능을 세부 조정합니다."
"Permission Configuration","권한 설정"
"Configure which User role has permission to perform which action. Note that some actions cannot be disabled for Game Master users. Some changes may not take effect until the game is reloaded.","사용자 역할에 따라 실행할 수 있는 기능을 설정합니다. 게임 마스터 사용자의 일부 기능은 비허용할 수 없습니다. 일부 변경 내용은 게임을 새로고침하기 전까지 적용되지 않을 수 있습니다."
"Permission","권한"
"User Role Permissions","사용자 역할 권한"
"Reset Defaults","기본값으로 초기화"
"Save Configuration","설정 저장"
"Allow Broadcasting Audio","마이크 송출 허용"
"Allow players with this role to broadcast audio when using A/V chat integration.","음성/영상 대화 기능을 사용할 때 이 역할의 플레이어가 마이크를 송출할 수 있도록 허용합니다."
"Allow Broadcasting Video","카메라 송출 허용"
"Allow players with this role to broadcast video when using A/V chat integration.","음성/영상 대화 기능을 사용할 때 이 역할의 플레이어가 카메라를 송출할 수 있도록 허용합니다."
"Create New Actors","새 액터 생성"
"Allow players with this role to create new Actors in the World.","이 역할의 플레이어가 월드에 새 액터를 생성할 수 있도록 허용합니다."
"Use Drawing Tools","그리기 도구 사용"
"Allow players with this role to create Drawings using the drawing tools.","이 역할의 플레이어가 그리기 도구로 그림을 생성할 수 있도록 허용합니다."
"Create New Items","새 아이템 생성"
"Allow players with this role to create new Items in the World.","이 역할의 플레이어가 월드에 새 아이템을 생성할 수 있도록 허용합니다."
"Use File Browser","파일 탐색기 열람"
"Allow players with this role to browse through available files in the File Browser.","이 역할의 플레이어가 파일 선택기에서 사용 가능한 파일을 열람할 수 있도록 허용합니다."
"Upload New Files","새 파일 업로드"
"Allow players with this role to upload content to the server using the File Browser.","이 역할의 플레이어가 파일 선택기에서 서버에 새 컨텐츠를 업로드할 수 있도록 허용합니다."
"Create Journal Entries","저널 엔트리 생성"
"Allow players with this role to create new Journal Entries in the Journal sidebar.","이 역할의 플레이어가 저널 사이드바에서 새 저널 엔트리를 생성할 수 있도록 허용합니다."
"Use Script Macros","스크립트 매크로 사용"
"Allow players with this role to use JavaScript macros which access the API.","이 역할의 플레이어가 API에 접근하는 자바스크립트 매크로를 사용할 수 있도록 허용합니다."
"Whisper Private Messages","비공개 귓속말 보내기"
"Allow players with this role whisper private messages that the Game Master cannot see.","이 역할의 플레이어가 게임 마스터가 볼 수 없는 비공개 귓속말을 보낼 수 있도록 허용합니다."
"Modify Configuration Settings","환경 설정 변경"
"Allow players with this role to modify game settings and enable or disable modules.","이 역할의 플레이어가 게임 설정을 변경하고 모듈을 켜고 끌 수 있도록 허용합니다."
"Display Mouse Cursor","마우스 커서 표시"
"Display the position of the player's mouse cursor which illustrates where the user is looking on the canvas.","사용자가 캔버스의 어느 지점을 보고 있는지 알려주는 플레이어 마우스 커서 위치를 표시합니다."
"Display Ruler Measurement","거리 측정 표시"
"Display measurement using the ruler tool to other connected players.","거리 측정 도구로 거리를 재는 것을 다른 플레이어에게도 보여줍니다."
"Create Measured Template","측정 템플릿 생성"
"Allow players with this role to create templates for area-of-effect measurement.","이 역할의 플레이어가 범위 측정을 위한 템플릿을 생성할 수 있도록 허용합니다."
"Create New Tokens","새 토큰 생성"
"Allow players with this role to place Tokens for Actors they own on the game canvas.","이 역할의 플레이어가 캔버스 위에 자신이 소유한 액터의 토큰을 배치할 수 있도록 허용합니다."
"Configure Token Settings","토큰 설정"
"Allow players with this role to configure the settings for Tokens that they own.","이 역할의 플레이어가 자신이 소유한 토큰의 설정을 변경할 수 있도록 허용합니다."
"Open and Close Doors","문 열고 닫기"
"Allow players with this role interact with doors defined on the Walls Layer.","이 역할의 플레이어가 벽 레이어에 정의된 문과 상호작용하도록 허용합니다."
"Import Data","데이터 불러오기"
"Create Scene","씬 생성"
"Search Scenes","씬 검색"
"Chat Log","대화 기록"
"Combat Tracker","전투 트래커"
"Scenes Directory","씬 디렉토리"
"Actors Directory","액터 디렉토리"
"Items Directory","아이템 디렉토리"
"Journal Entries","저널 엔트리"
"Audio Playlists","오디오 재생목록"
"Compendium Packs","컴펜디움 팩"
"Game Settings","게임 설정"
"Rollable Tables","굴림표"
"View Token Artwork","토큰 아트워크 보기"
"Jump To Pin","핀으로 이동"
"Animate Roll Tables?","애니메이션 켜기"
"Configure whether to display a roulette-style animation when drawing from a Roll Table.","굴림표에서 결과를 뽑을 때 룰렛 스타일의 애니메이션을 보여줄지 여부를 설정합니다."
"Create Table","굴림표 생성"
"Table Description","굴림표 설명"
"Display Roll to Chat?","대화에 굴림 보여주기"
"Roll Table Formula","굴림 공식"
"Search Tables","굴림표 검색"
"Table Configuration","굴림표 설정"
"Normalize Result Weights","결과 가중치 정규화"
"Draw with Replacement?","복원 추출"
"Reset","초기화"
"Add New Result","새 결과 추가"
"Result Type","결과 유형"
"Result Details","결과 상세 정보"
"Delete Result","결과 삭제"
"Weight","가중치"
"Range","범위"
"Roll","굴리기"
"Toggle Drawn Status","뽑힌 상태로 표시/해제"
"Update","저장"
"Cone Template Type","원뿔형 템플릿 타입"
"Choose how the area of effect for cone templates should be defined.","원뿔형 템플릿의 효과 범위를 어떻게 정의할지 선택합니다."
"Flat","평평한 호"
"Round","둥근 호"
"Assign Token","토큰 할당"
"You must select one existing Token to assign as the new prototype configuration.","새 프로토타입 설정으로 할당하려면 존재하는 토큰 중 하나를 선택해야 합니다."
"Updated prototype Token configuration for {name}","{name}의 프로토타입 토큰 설정을 변경했습니다."
"Attribute Bars","어트리뷰트 바"
"Single Values","단일 값"
"Represented Actor","할당된 액터"
"Token Disposition","토큰 성향"
"Configure which Actor this Token is associated with.","이 토큰을 어느 액터에 할당할지 설정합니다."
"Link Actor Data","액터 데이터 연동"
"Token Name","토큰 이름"
"Display Name","이름 표시"
"Alternate Actor Tokens","대체 이미지"
"Configure the Token image and its displayed size and scale.","토큰 이미지와 그 표시 크기 및 배율을 설정합니다."
"Token Image Path","토큰 이미지 경로"
"Mirror Image Horizontally","이미지 가로로 뒤집기"
"Mirror Image Vertically","이미지 세로로 뒤집기"
"Configure the Token's position, orientation, and elevation.","토큰의 위치, 방향, 고도를 설정합니다."
"Lock Rotation","회전 잠금"
"Randomize Wildcard Images","와일드카드 이미지 무작위 할당"
"Configure the resource bars which are tracked for the Token.","이 토큰이 표시할 자원 바를 설정합니다."
"Bar 1 Attribute","바 1 어트리뷰트"
"Bar 1 Data","바 1 데이터"
"Bar 2 Attribute","바 2 어트리뷰트"
"Bar 2 Data","바 2 데이터"
"Display Bars","바 표시"
"Token Configuration","토큰 설정"
"Prototype Token","프로토타입 토큰"
"Tint Color","색상"
"Update Token","토큰 저장"
"Configure the vision capability and light emission of this Token.","이 토큰의 시야 능력과 방출하는 빛을 설정합니다."
"Has Vision","시야 있음"
"Bright Vision","밝은 빛 시야"
"Dim Vision","약한 빛 시야"
"Sight Angle","시야각"
"Hostile","적대적"
"Neutral","중립적"
"Friendly","우호적"
"None","없음"
"Player","플레이어"
"Trusted Player","신뢰할 수 있는 플레이어"
"Assistant GM","보조 마스터"
"Game Master","게임 마스터"
"Password","액세스 키"
"User Role","사용자 역할"
"User Name","사용자 이름"
"Create Additional User","새 사용자 생성"
"Delete User","사용자 제거"
"Save and Return","게임 세션 실행"
"Wall Configuration","벽 설정"
"Wall Configuration [Multiple]","벽 설정 [여러 개]"
"Customize how this wall segment restricts movement or senses.","이 벽의 이동 및 시야 제한 방식을 설정합니다."
"Wall Coordinates","벽 좌표"
"Movement Restrictions","이동 제한"
"Wall Direction","벽 방향"
"Is Door?","문으로 취급"
"Door State","문 상태"
"Update Wall","벽 저장"
"World Details","월드 상세정보"
"World Description","월드 설명"
"Audio/Video Configuration","음성/영상 설정"
"Configure Audio/Video","음성/영상 설정"
"Configure settings specific to the integrated Audio/Video WebRTC component","통합 오디오/비디오 WebRTC 구성 요소 관련 설정"
"<Unknown Device>","<미확인 장치>"
"Video Capture Device","비디오 입력 장치"
"Select which video capture device you wish to use, if any.","사용하고 싶은 비디오 입력 장치를 선택합니다."
"Audio Capture Device","오디오 입력 장치"
"Select which audio capture device you wish to use, if any.","사용하고 싶은 오디오 입력 장치를 선택합니다."
"Audio Output Device","오디오 출력 장치"
"Select which audio output device you wish to use.","사용하고 싶은 오디오 출력 장치를 선택합니다."
"Disable Sending Camera","카메라 송신 끄기"
"Disable Sending Audio","오디오 송신 끄기"
"Disable Audio Output","오디오 출력 끄기"
"Default Device","기본 장치"
"Unavailable Device (will use Default)","사용 불가능한 장치 (기본 장치를 사용합니다.)"
"Choose Signalling Server","시그널링 서버 선택"
"Signalling Server URL","시그널링 서버 URL"
"Foundry VTT","Foundry VTT"
"Custom Server","커스텀 서버"
"Signalling Server Username","시그널링 서버 아이디"
"Signalling Server Password","시그널링 서버 비밀번호"
"Relay Server Configuration","릴레이 서버 설정"
"Provided by Signalling Server","시그널링 서버로부터 제공"
"Custom Relay Server","커스텀 릴레이 서버"
"Relay Server URL","릴레이 서버 URL"
"Relay Server Username","릴레이 서버 아이디"
"Relay Server Password","릴레이 서버 비밀번호"
"General","일반"
"Devices","장치"
"Server","서버"
"General Audio/Video Conferencing Settings can only be modified by the GM","GM만이 변경할 수 있는 일반적인 음성/영상 회의 설정"
"Audio/Video Conferencing Mode","음성/영상 회의 모드"
"Only a Game Master user may change this setting, which will require Foundry VTT to reload.","게임 마스터 사용자만이 이 설정을 바꿀 수 있습니다. 변경 시 Foundry VVT를 새로고침해야 합니다."
"Toggle video","영상 켜기/끄기"
"Configure Settings","환경 설정"
"Send to Dock","최소화"
"Pop out","창 띄우기"
"Push-to-Talk/Mute Key","눌러서 말하기/음소거 키"
"Assign a keyboard key which, in PTT mode, enables voice while held. If not in PTT mode, the same key mutes while pressed.","눌러서 말하기 모드에서 누르고 있는 동안 보이스를 활성화할 키를 할당합니다. 눌러서 말하기 모드가 아닌 경우 이 키를 누르고 있는 동안은 보이스를 비활성화합니다."
"Voice Broadcasting Mode","보이스 송출 모드"
"Choose how your voice is broadcast in AV calls.","음성/영상 통화에서 보이스를 송출할 방식을 선택합니다."
"Allow User Video","사용자 카메라 허용"
"Block User Video","사용자 카메라 차단"
"Allow User Audio","사용자 마이크 허용"
"Block User Audio","사용자 마이크 차단"
"Enable Your Video","카메라 켜기"
"Disable Your Video","카메라 끄기"
"Enable Your Audio","마이크 켜기"
"Mute Your Audio","마이크 끄기"
"Mute Others' Audio","다른 사람 음소거"
"Unmute Others' Audio","다른 사람 음소거 해제"
"Hide Players List","플레이어 목록 숨기기"
"Cycle Video Size","영상 크기 순환"
"Unable to capture from your Audio devices; Sharing Video only","오디오 장치로부터 입력을 받을 수 없습니다. 영상만 공유합니다."
"Unable to capture from your Video devices; Sharing Audio only","비디오 장치로부터 입력을 받을 수 없습니다. 음성만 공유합니다."
"Unable to capture from your Audio & Video devices","오디오 및 비디오 장치로부터 입력을 받을 수 없습니다."
"Unable to capture from your Video devices","비디오 장치로부터 입력을 받을 수 없습니다."
"Unable to capture from your Audio devices","오디오 장치로부터 입력을 받을 수 없습니다."
"Error connection to Audio/Video Signalling Server","음성/영상 시그널링 서버 접속 에러"
"Lost connection to the Audio/Video Signalling server. Trying to re-establish connection.","음성/영상 시그널링 서버와의 접속이 끊어졌습니다. 다시 접속을 시도하는 중입니다."
"WebRTC Error : ","WebRTC Error : "
"You cannot use Audio/Video calls unless your Foundry VTT server is using SSL certificates. See the online documentation for instructions.","SSL 인증이 없는 Foundry VVT 서버에서는 음성/영상을 사용할 수 없습니다. 자세한 설명은 온라인 문서를 참고하십시오."
