"en","zh-tw"
"Configure additional integrations between this scene and Journal Entries, Audio Playlists, or Weather Effects.","爲該場景額外整合日誌條目、音訊播放列表或者天氣效果。"
"Details and Dimensions","詳情與大小"
"Configure the basic details for this scene and permissions which control its visibility.","設定該場景的基礎詳情以及可見性權限。"
"Grid Configuration","網格設定"
"Configure the grid dimensions which are used to measure token movement in this scene.","設定該場景的網格大小和尺度以測量Token的移動。"
"Vision and Lighting","視野與光照"
"Configure the vision, lighting, and fog of war settings which apply to this Scene.","設定該場景下的視野、光照以及戰爭迷霧。"
"Initial View Position","初始視圖位置"
"Capture Current View","獲取當前視圖位置"
"Set a default camera position that is displayed the first time this Scene is viewed.","設定此場景出現時的初始位置。"
"Loading {name}","載入{name}中"
"Navigation Name","導航名"
"An alternative name for the Scene that is displayed in the Navigation Bar instead of the actual Scene name.","在導航欄顯示的給玩家的場景別名。"
"Scene Notes","場景筆記"
"Padding Percentage","內距比例"
"pixels","像素"
"Preload Scene","預載入場景"
"Scene Name","場景名"
"View Scene","查看場景"
"Journal Notes","日誌備注"
"A linked Journal Entry which provides notes for the Game Master about this Scene.","連結到日誌條目，爲GM提供該場景的筆記。"
"Playlist Sound","播放列表音效"
"You may choose a specific Playlist Sound which should play when this Scene is active, otherwise the entire Playlist will play.","你可以選擇某一特定播放列表音效在此場景啓用時被播放，否則整個播放列表都將會被播放。"
"Navigation","顯示在導航欄"
"Offset Background","背景偏移量"
"Horizontal","水平"
"Vertical","垂直"
"Token Vision","Token視野"
"Restrict visibility within this Scene to the shared vision of all controlled Tokens. If disabled, the entire Scene is visible.","根據受控的Token和其視野來决定在該場景內的可見部分。"
"Toggle Navigation","切換導航欄顯示"
"units","單位"
"Weather Effect","天氣效果"
"Configure an active Weather Effect which is present within this Scene.","設定該場景內的天氣效果。"
"Configure Settings","設定"
"Controls Reference","操作手册"
"Demo Mode","展示模式"
"View Documentation","查看說明"
"Invitation Links","邀請連結"
"Manage Modules","管理MOD"
"View Active Modules","查看啓用的MOD"
"Configure Game Settings","遊戲設定"
"Update Software","更新軟件"
"Log Out","登出"
"User Management","玩家設定"
"Reset Defaults","重置設定"
"Save Changes","儲存變更"
"Return to Setup","返回設定"
"General Information","基本信息"
"Game Settings","遊戲設定"
"Help and Documentation","說明"
"Game Access","遊戲訪問權限"
"Community Wiki Pages","社區WIKI"
"Token Vision Animation","Token視野動畫"
"Animate Token vision and light changes during Token movement animations. Disabling this will improve performance for lower-end machines.","在Token移動的動畫過程當中，同步動態改變Token的視野以及光線。禁用該項可以在低階裝置上改善性能。"
"Light Source Animation","光源動畫"
"Allow light source animations. Disabling this will improve performance for lower-end machines.","允許播放光源動畫。禁用該項可以在低階裝置上改善性能。"
"Disable Pixel Resolution Scaling","禁用像素分辨率縮放"
"Disable automatic scaling of the canvas resolution to the pixel density of the display device. This will result in a reduction in visual quality but an improvement in application performance for high-density displays.","禁止根據顯示器的像素密度自動縮放畫布分辨率。這將導致高分屏上畫面質量降低，但會提供程序性能上的提升。"
"Language Preference","語言"
"Change the displayed language for Foundry Virtual Tabletop.","變更Foundry Virtual Tabletop的顯示語言。"
"Left-Click to Release Objects","單擊左鍵釋放對象"
"When enabled, a left click on empty canvas space will release any currently controlled objects. If disabled, objects are released by selecting an empty space, shift-clicking the object, or pressing the escape key.","啓用後，在空畫布上單擊鼠標左鍵將會釋放當前控制的所有對象。禁用時，釋放對象的方法是框選一片空間、按住SHIFT點擊對象或者按下ESC鍵。"
"Disable Game Canvas","禁用遊戲畫布"
"The game canvas which provides a visual representation of the virtual tabletop can be disabled. This allows for low-end machines to use a subset of software features.","可禁用提供虛擬桌面視效表現的遊戲畫布。這將允許較低階的裝置能夠使用部分功能。"
"Enable Chat Bubbles","聊天氣泡"
"Configure whether or not chat bubbles will be displayed above Tokens for in-character and emote type chat messages.","啓用後，當以角色進行發言或者發送表情時，消息將會以氣泡框的形式顯示在Token上方。"
"Pan to Token Speaker","聚焦發言"
"Configure whether to automatically pan the camera to a speaking token when it displays a chat bubble.","當顯示聊天氣泡框時，自動將視角平移到正在發言的Token。"
"Maximum Framerate","限制FPS"
"Limit the maximum framerate at which Foundry Virtual Tabletop will render canvas updates. Lowering this value may improve application performance for less powerful hardware.","限制Foundry Virtual Tabletop渲染畫布更新的最高幀率。調低此值可以在低階裝置上改善性能。"
"Zoomed Texture Antialiasing","紋理縮放抗鋸齒"
"Compute mipmaps to antialias sprite textures at lower levels of zoom. This is a client setting as different users may prefer different visual styles.","計算mipmaps以提升在更低水平縮放程度下的紋理抗鋸齒效果。該項爲客戶端設定，不同用戶可選擇不同的視覺風格。"
"Enable Soft Shadows","軟陰影"
"Enable soft shadows for more beautiful dynamic lighting, or disable it for improved performance on machines with lower-end hardware.","啓用後，動態光照會更加漂亮。禁用該項可以在低階裝置上改善性能。"
"Core Settings","核心設定"
"Module Settings","MOD設定"
"System Settings","系統設定"
"Token Drag Vision","Token拖拽視野"
"When enabled, vision and lighting for a Token is previewed in real time during a left-click drag workflow. This is disabled by default because it may promote undesirable meta-gaming behaviors.","啓用後，左鍵拖拽Token時會實時預覽其視野和光照。此項預設禁用，因爲會促使令人討厭的超遊行爲發生。"
"Default Token Configuration","默認Token設定"
"Configure Default Token Settings","調整默認Token設定"
"Configure default Token values for newly created Actors.","為新增角色調整默認的Token參數。"
"Reset User role permission configuration to default values.","將用戶的權限重置為默認值."
"Updated User role permission configuration.","已更新用戶的權限."
"Core Software Version","核心軟件版本"
"If an update to the core Foundry Virtual Tabletop software is available, you may apply it here. You are currently using version {coreVersion}.","如果FoundryVTT核心軟件有更新，則可以在此處更新。你當前正在使用{coreVersion}版本。"
"Default Language","預設語言"
"You may choose a default language for the application by choosing a module which provides the core translation files for that language.","你可以選擇一項提供對應語言翻譯文件的MOD，以使FVTT使用其作爲預設語言。"
"Software Configuration","軟件設定"
"You must install a game System before you can create a new World","你必須在建立新的世界前安裝一個系統"
"Software Update","軟件更新"
"A {type} update to {channel} version {version} is now available!","現在可以更新到{channel}頻道下{version}版本！"
"Configuration","設定"
"These fields customize the behavior of the Foundry Virtual Tabletop application. Changes will require the server to restart.","以下的選項會變更Foundry Virtual Tabletop的設定。重新啓動FVTT才能使這些變更生效。"
"Optimize Static Files","優化靜態文件大小"
"Reduce network traffic by serving minified static JavaScript and CSS files. Enabling this setting is recommended for most users, but module developers may wish to disable it.","使用最小化的JavaScript和CSS文件來减少網絡帶寬的占用。對於除了MOD開發者外的大多數用戶，推薦啓用此項。"
"Add-on Modules","MOD"
"Game Systems","遊戲系統"
"Configuration and Setup","安裝與設定"
"Update Software","軟件更新"
"Update System","更新系統"
"An update to the Core Software is available, Return to Setup in order to apply it!","核心軟件更新可用，返回設定以便應用。"
"An update to the System is available, Return to Setup in order to apply it!","系統更新可用，返回設定以便應用。"
"Update All","全部更新"
"Software Update Channel","軟件更新頻道"
"You may choose an update channel to control the types of updates you wish to receive for the core Foundry Virtual Tabletop software. If you do not have a specific reason to change this, it is recommended to consume the Release channel.","你可以選擇一個更新頻道來控制希望的更新核心Foundry Virtual Tabletop軟件的方式。如無特殊原因，建議直接使用Release頻道。"
"Update","檢查更新"
"Check For Update","檢查更新"
"Alpha (Unstable)","Alpha（不穩定）"
"Beta (Release Candidate)","Beta（候選）"
"Release (Stable)","Release（穩定）"
"Checking the Force Update box will force your version to the requested channel. Do not use this option unless you know exactly what you are doing.","勾選强制更新框將會强制變更軟件更新到對應頻道的最新版本。使用前，請確保已知悉該項的預期行爲。"
"Uninstall","移除"
"Create World","創造新的世界"
"Delete World","删除"
"Edit World","編輯"
"Launch World","啓動"
"Game Worlds","遊戲世界"
"Requires Update","需要更新"
"Requires System Update","需要更新系統"
"Requires Dependency","需要依賴項目"
"Requires Core Update","需要更新核心"
"Locking a Package prevents it from being uninstalled or updated","鎖定Package以避免其被卸載或更新"
"Updated version available at new installation URL","新的安裝 URL 下有可用的更新版本"
"A newer version of ""{package}"" is available at a different installation URL. This happens when the package hosting location or the author has changed.","""{package}"" 的新版本在另一安裝 URL 下可用。這種情況發生於Package託管位置或作者變更時。"
"Prior Manifest URL (Version {version})","先前的清單 URL（版本 {version}）"
"Updated Manifest URL (Version {version})","更新的清單 URL（版本 {version}）"
"Would you like to switch to the new manifest URL? (this is recommended)","是否要切換至新的清單 URL？（推薦）"
"Save Application Configuration","儲存應用設定"
"Modifying these configuration options will cause the server to be shut down and require that you restart the server manually. Do you wish to continue?","修改這些設定選項將導致服務器被關閉並需要你手動重啓服務器。你是否希望繼續？"
"The Foundry Virtual Tabletop server has been terminated to apply changes. You must restart manually.","Foundry Virtual Tabletop 服務器已被終止以應用修改。你必須手動重啓。"
"Current Version","當前版本"
"Force Update?","強制更新？"
"Compatibility Unknown","兼容性未知"
"Compatibility Risk","兼容性風險"
"Compatibility Risk ({version})","兼容性風險 ({version})"
"Manifest URL","在線安裝地址（連結）"
"You can install any package by providing a direct link to its JSON manifest URL.","你可以輸入一個網絡地址（清單文件連結）來安裝。"
"Install Module","下載新的MOD"
"Install System","下載新遊戲系統"
"{type} {name} was installed successfully","{type} {name}安裝成功"
"Installation failed: {message}","安裝失敗：{message}"
"Install World","下載新世界"
"uninstalled successfully","移除成功"
"Uninstallation failed","移除失敗"
"updated successfully","更新成功"
"Update failed","更新失敗"
"Loading Available Packages","正在載入可用Package"
"Filter Packages","篩選Package"
"You can filter available packages by name.","你可以通過標題名搜尋Package"
"Package Categories","Package類別"
"Installed","已安裝"
"Not Owned","未擁有"
"Package Name","Package 名稱"
"All Packages","全部"
"Installed Only","已安裝"
"Uninstalled Only","未安裝"
"{title} has {number} dependencies which are not yet installed.","你安裝的Package需要{number}個尚未安裝的依賴項目。"
"Install Package Dependencies","安裝Package依賴項目"
"You may not be able to use this package if these dependencies are not present. Do you wish to install them automatically?","如果不安裝這些依賴項目，可能無法正常使用該Package。你要自動安裝這些依賴項目嗎？"
"You have chosen not to install the required dependency packages for {title}. You will need to install them manually.","你已拒絕爲{title}自動安裝所需的依賴項目。你需要手動安裝這些依賴項目。"
"Successfully installed {title} and {number} dependencies.","已成功安裝{title}和其需要的{number}個依賴項目。"
"An update is available for {name} but cannot be installed because it requires core software version {vreq} and you are currently using version {vcur}.","{name}有更新可用，但其需要核心軟件版本{vreq}，而目前使用的版本爲{vcur}。"
"Delete {type}: {title}","刪除 {type}: {title}"
"Are you sure you want to delete the {type} <strong>{title}</strong>?","你確定想要刪除 {type} <strong>{title}</strong> 嗎？"
"<strong>Warning:</strong> This will permanently delete your world content and <strong>can not</strong> be un-done. Are you sure you wish to do this?</strong>.","<strong>警告：</strong>這將你必須輸入準確的世界名稱以確認刪除請求。永久刪除你的世界內容並<strong>無法</strong>撤銷。你確定要這樣做嗎？"
"Type the exact title of your world <strong>{title}</strong> in the box below to proceed.","在下方輸入框中，輸入你要刪除的世界名 <strong>{title}</strong> 以繼續進行。"
"<strong>Warning:</strong> This operation cannot be un-done.","<strong>警告：</strong>此刪除無法撤銷。"
"You must enter the exact World name to confirm the deletion request.","你必須輸入確切的世界名以確認刪除請求。"
"Update","檢查更新"
"Blocked","已鎖定"
"Update","更新"
"Current","最新"
"Updating","更新中"
"Updated","已更新"
"Downloading Update","下載更新中"
"Download Complete","下載完成"
"Extracting Update","提取更新中"
"Extraction Complete","提取完成"
"Cleaning Directory","清理目錄中"
"Cleaning Complete","清理完成"
"Installing Update","安裝更新中"
"Installation Complete","安裝完成"
"In order to update Foundry Virtual Tabletop you will need to be connected to the internet and have a valid software license.","爲更新Foundry Virtual Tabletop，你需要連接到互聯網並擁有有效的軟件許可證。"
"This update is a new major version of the Foundry Virtual Tabletop software. Installing this update will require some installed modules which may not yet be compatible to be disabled.","該更新是Foundry Virtual Tabletop的新的主要版本。安裝該更新可能將禁用某些已安裝的不兼容的MOD。"
"Download Update {version}","下載更新 {version}"
"An update to Foundry Virtual Tabletop version {version} is available!","Foundry Virtual Tabletop版本{version}更新可用！"
"You are not allowed to update this instance of Foundry Virtual Tabletop because it was launched in --noupdate mode.","您不能更新此 Foundry Virtual Tabletop ，因為它是在 --noupdate 模式下啓動的."
"No software update is currently available on the requested update channel.","當前在請求的更新頻道上沒有可用的軟件更新."
"Package Update Log","Package 更新日誌"
"Package","Package"
"Version Change","版本變更"
"World Data Migration Required","需要遷移世界資料"
"<p>Launching the world <strong>{world}</strong> will migrate its data model from an older core software version {oldVersion} to the currently installed version {newVersion}.</p><p>As part of this process, <strong>{nIncompatible} out of {nModules} installed modules</strong> which may not yet be compatible with the new version will be automatically disabled. You may re-enable them manually if you wish.</p><p>Please check for any available updates to your game systems and modules, and please be sure to periodically back up your critical world data. Would you like to proceed?</p>","<p>啓動世界<strong>{world}</strong> 將把其舊有核心版本{oldVersion}的資料模型遷移到當前安裝的版本{newVersion}上。</p><p>該過程同時也會自動禁用<strong>已安裝的{nModules}個MOD中{nIncompatible}個</strong>可能與新版本不兼容的MOD。你需要重新手動開啓這些MOD。</p><p>請確認當前是否有任何可用的遊戲系統和模組的更新，並且請周期性備份重要的世界資料。你想要繼續進行嗎？</p>"
"Foundry Virtual Tabletop &bull; Administrator Access","管理員權限"
"Administrator Password","管理員密碼"
"You must provide the administrator password in order to access application setup.","您必須提供管理員訪問密碼才能進入程式設定."
"You may assign a special administrator password which is required in order to access this setup screen.","你可以爲該設定界面指定一個特別的管理員密碼。"
"Admin Log Out","管理員登出"
"AWS Configuration Path","AWS設定文件位置"
"You may provide an AWS configuration file for S3 integration. The path is absolute or relative to the Config subdirectory of user data.","你可以提供一個用於集成S3的AWS設定文件。該位置可以是絕對位置，或者是用戶資料目錄中Config子目錄的相對位置。"
"Port","端口"
"You may choose which port Foundry Virtual Tabletop uses for TCP connection traffic and enable or disable Universal Plug and Play (UPnP).","你可以選擇Foundry Virtual Tabletop用於TCP連接通信的端口，並啓用或禁用通用即插即用（UPnP）。"
"Enable UPnP?","啓用UPnP？"
"User Data Path","用戶資料位置"
"Configure the location where your user data including worlds, systems and modules are stored.","設定存儲用戶資料（包括世界、系統和MOD）的位置。"
"Default World","預設世界"
"You may choose one of your available worlds to automatically launch when the software is started.","你可以選擇在軟件啓動時自動啓動一個可用的世界。"
"SSL Certificate","SSL證書"
"SSL Private Key","SSL密碼"
"You may run the server using secure socket layer (SSL) encryption by providing paths to certificate and key files. Paths are absolute or relative to the Config subdirectory in user data.","你可以提供證書和密碼文件的位置來使用安全套接字層（SSL）加密來運行服務器。該位置可以是絕對位置，或者是用戶資料目錄中Config子目錄的相對位置。"
"JavaScript","JavaScript"
"CSS","CSS"
"Compendium","Compendium"
"Localization","本地化"
"Version","版本"
"Core Version","核心版本"
"Timed Out","超時"
"Current Players","當前玩家"
"Join Game Session","加入遊戲集會"
"Game Details","遊戲詳情"
"Return to Setup","返回設定"
"World Description","世界描述"
"Next Session","下一場集會"
"Select User","選擇用戶"
"User Password","用戶訪問密碼"
"You are authenticated as a server administrator user.","您已被認證為服務器管理員用戶."
"The requested User, ""{user}"", does not exist!","請求的用戶 ""{user}"" 並不存在！"
"Invalid password provided for {user}!","為 {user} 輸入的密碼無效!"
"{user} does not have permission to access this World!","{user} 無權訪問此世界!"
"Login as {user} successful, joining game!","以{user}身份登錄成功，正在進入遊戲!"
"This Sheet","該卡"
"Default Sheet","預設卡"
"Override which sheet type you would like to use for this specific entity.","設定僅用於該實體的卡範本。"
"Set the default sheet type used for this entity type (GM Only).","設定用於此類實體的預設卡範本（僅GM）。"
"You do not have sufficient permissions to view this entity sheet.","你沒有查看該實體的卡的權限。"
"Save Sheet Configuration","儲存設定"
"View Character Artwork","查看角色圖片"
"Collapse or Expand","展開/摺疊"
"Delete","删除"
"This {type} will be permanently deleted and cannot be recovered.","此 {type} 將被永久刪除且無法恢復."
"Duplicate","複製"
"Export Data","導出資料"
"Ambient Sound Configuration","環境音設定"
"Configure the ambient sound to play an audio file when tokens move within it's radius.","設定Token移動到半徑內時，播放音訊文件的環境音。"
"Create Ambient Sound","新增環境音"
"Update Ambient Sound","更新環境音"
"Source File Path","來源文件位置"
"path/to/audio.mp3","path/to/audio.mp3"
"Effect Radius","效果半徑"
"Sound Type","聲音類型"
"Local Sound","局部聲音"
"Global Sound","全域聲音"
"Volume Easing","音量緩動"
"Adjust the volume level of the sound as Tokens move closer to the origin.","隨著Token接近聲源，調整聲音的音量水平。"
"Maximum Volume","最大音量"
"Define the maximum volume of the sound at it's origin point (if easing) or everywhere in the area.","設定該聲音位於原點處（如使用緩動）或該區域內所有位置的最大音量。"
"New Sound","新的聲音"
"Darkness Activation Range","黑暗有效範圍"
"You may specify a range of darkness levels during which this ambient sound will be audible.","您可以指定範圍的黑暗級數，在此範圍內可以聽到這種環境聲音."
"Clear Folder","清除文件夾"
"Folder Color","文件夾顔色"
"Create Folder","新增文件夾"
"Collapse All Folders","摺疊全部文件夾"
"Delete All","删除全部內容"
"This folder and its contents will be permanently deleted and cannot be recovered.","此文件夾及其內容將被永久刪除且無法恢復."
"Edit Folder","編輯文件夾"
"Export to Compendium","導出到合集"
"Folder Name","文件夾名"
"Remove Folder","移除文件夾"
"This folder will be permanently deleted and its contents will be moved to its parent folder.","此文件夾將被永久刪除，其內容將移至其父級文件夾."
"Alphabetical","字母序"
"Manual","手調序"
"Sorting Mode","排序模式"
"Update Folder","更新文件夾"
"Export Content","導出內容"
"You may export contained entities from this folder into an unlocked Compendium pack of the appropriate type.","你可以將該文件夾包含的實體導出到一個已解鎖的對應類型的合集。"
"Destination Pack","目標包"
"Merge By Name?","按名稱合並？"
"There are no unlocked compendium packs available for {type} entities which you can export to.","沒有對應{type}實體類型的已解鎖的合集用於導出。"
"Create Rollable Table","新增隨機表"
"Create a new Rollable Table entity using the contents of this Folder as table results?","是否用該文件夾的內容作爲隨機表結果，新增一個隨機表實體？"
"None","無"
"Limited","限制"
"Observer","查看"
"Owner","擁有"
"Default","預設"
"No Change","不變更"
"All Players","所有玩家"
"Configure Permissions","設定權限"
"Open Permission Configuration","打開權限設定"
"Fine tune the permitted actions which are allowed to Users for each role.","設定每個用戶組可用的操作。"
"Permission Configuration","權限設定"
"Configure which User role has permission to perform which action. Note that some actions cannot be disabled for Game Master users. Some changes may not take effect until the game is reloaded.","設定哪些用戶有權限執行某些操作。注意無法禁用GM的某些操作。部分操作需要重新載入以生效。"
"Configure access for all Entities within this Folder. Changes will be applied to all contained Entities, excluding the contents of sub-folders.","設定訪問該文件夾內所有實體所需的權限。此項變更將對包含的所有實體生效，但子文件夾的內容不變。"
"Configure access to this specific Entity, allowing each User to be assigned a different level of visibility.","設定訪問該特定實體所需的權限，允許爲每位用戶設定不同級別的可見性。"
"Permission","權限"
"User Role Permissions","用戶組權限"
"Reset Defaults","預設值"
"Save Configuration","儲存設定"
"Allow Broadcasting Audio","允許公頻語音"
"Allow players with this role to broadcast audio when using A/V chat integration.","在語音/視訊聊天中，允許該用戶組的玩家進行公頻語音。"
"Allow Broadcasting Video","允許公頻視訊"
"Allow players with this role to broadcast video when using A/V chat integration.","在語音/視訊聊天中，允許該用戶組的玩家進行公頻視訊。"
"Create New Actors","新增角色"
"Allow players with this role to create new Actors in the World.","允許該用戶組在世界中新增新角色。"
"Use Drawing Tools","使用繪圖工具"
"Allow players with this role to create Drawings using the drawing tools.","允許該用戶組在世界中使用繪圖工具。"
"Create New Items","新增物品"
"Allow players with this role to create new Items in the World.","允許該用戶組在世界中新增新物品。"
"Use File Browser","瀏覽資源管理器"
"Allow players with this role to browse through available files in the File Browser.","允許該用戶組瀏覽可用的文件資源。"
"Upload New Files","上傳文件"
"Allow players with this role to upload content to the server using the File Browser.","允許該用戶組上傳內容到服務器。"
"Create Journal Entries","新增日誌"
"Allow players with this role to create new Journal Entries in the Journal sidebar.","允許用戶組在側邊欄的日誌中新增新的日誌。"
"Use Script Macros","使用脚本Macro"
"Allow players with this role to use JavaScript macros which access the API.","允許該用戶組使用JavaScriptMacro。"
"Whisper Private Messages","私聊"
"Allow players with this role whisper private messages that the Game Master cannot see.","允許該用戶組進行GM無法看見的私聊。"
"Create Map Notes","新增地圖筆記"
"Allow users with this role to create Note objects from Journal Entries which they own.","允許擁有此身份的用戶，可以在日記條目中新增自己的筆記."
"Modify Configuration Settings","修改設定"
"Allow players with this role to modify game settings and enable or disable modules.","允許該用戶組修改遊戲設定和啓用/關閉MOD。"
"Display Mouse Cursor","顯示鼠標光標"
"Display the position of the player's mouse cursor which illustrates where the user is looking on the canvas.","顯示玩家鼠標光標的位置，該位置說明了用戶在畫布上的觀看位置。"
"Display Ruler Measurement","顯示標尺"
"Display measurement using the ruler tool to other connected players.","使用標尺工具向其他連接的玩家顯示測量的距離。"
"Create Measured Template","新增測量範本"
"Allow players with this role to create templates for area-of-effect measurement.","允許該用戶組新增測量範圍用的範本。"
"Create New Tokens","放置Token"
"Allow players with this role to place Tokens for Actors they own on the game canvas.","允許該用戶組從角色中放置其擁有的Token到畫面中。"
"Configure Token Settings","設定Token"
"Allow players with this role to configure the settings for Tokens that they own.","允許該用戶組設定其擁有的Token。"
"Open and Close Doors","開/關門"
"Allow players with this role interact with doors defined on the Walls Layer.","允許該用戶組與門進行交互。"
"Import Data","導入資料"
"Create Scene","新增場景"
"Search Scenes","搜尋場景"
"Chat Log","聊天記錄"
"Combat Tracker","戰鬥板"
"Scenes Directory","場景目錄"
"Actors Directory","角色目錄"
"Items Directory","物品目錄"
"Journal Entries","日誌條目"
"Audio Playlists","播放列表"
"Compendium Packs","合集包"
"Game Settings","遊戲設定"
"Rollable Tables","隨機表"
"View Token Artwork","查看Token圖片"
"Jump To Pin","跳到標記"
"Animate Roll Tables?","隨機表動畫"
"Configure whether to display a roulette-style animation when drawing from a Roll Table.","從隨機表獲得結果時顯示轉盤式的動畫。"
"Create Table","新增隨機表"
"Table Description","隨機表描述"
"Display Roll to Chat?","在聊天視窗顯示擲骰結果？"
"Roll Table Formula","隨機表公式"
"Search Tables","搜尋隨機表"
"Table Configuration","隨機表設定"
"Normalize Result Weights","規範化結果權重"
"Draw with Replacement?","重複獲取？"
"Reset","重置"
"Add New Result","新增結果"
"Result Type","結果類型"
"Result Details","結果詳情"
"Result Description","結果說明"
"Delete Result","删除結果"
"Weight","權重"
"Range","範圍"
"Roll","擲骰"
"Toggle Drawn Status","切換獲取狀態"
"Update","更新"
"Cone Template Type","錐形量板類型"
"Choose how the area of effect for cone templates should be defined.","選擇錐形範本的影響的區域的類型。"
"Flat","平角"
"Round","弧形"
"Tile Configuration","圖塊 設定"
"Basic","基本"
"Configure this tile sprite which is displayed above the Scene background.","設定顯示在場景背景上的圖塊精靈."
"Overhead","空中(Overhead)"
"Additional attributes which apply if the Tile is overhead in the Foreground.","如果 圖塊 在前景的空中，則附加額外屬性."
"Animation","動畫"
"Additional attributes which apply if the Tile uses an animated video texture.","如果 圖塊 使用動畫影片紋理，則附加額外屬性."
"Tile Image or Video","圖塊圖片或影片"
"Tile Opacity","圖塊不透明度"
"Tint Color","色調顏色"
"Is Overhead?","是空中(Overhead)嗎？"
"Occlusion Mode","遮擋模式"
"None (Always Visible)","無（始終可見）"
"Fade (Entire Tile)","淡入淡出（整個圖塊）"
"Roof (Blocks Vision and Lighting)","頂部（阻擋視野和照明）"
"Radial (Surrounding Token)","放射狀（包圍Token）"
"Occlusion Alpha","遮擋 Alpha"
"Loop Video","循環影片"
"Autoplay Video","自動播放影片"
"Video Volume","影片音量"
"Assign Token","分配Token"
"You must select one existing Token to assign as the new prototype configuration.","你必須選擇一個現存的Token來分配爲新的Token範本。"
"Updated prototype Token configuration for {name}","已更新{name}的Token範本設定"
"Attribute Bars","屬性條"
"Single Values","單一值"
"Represented Actor","關聯角色"
"Token Disposition","Token傾向"
"Configure which Actor this Token is associated with.","設定該Token所關聯的角色。"
"Link Actor Data","與關聯角色同步資料"
"Token Name","Token名稱"
"Display Name","顯示名稱"
"Alternate Actor Tokens","角色替代Token"
"Configure the Token image and its displayed size and scale.","設定Token的圖片、大小和比例。"
"Token Image Path","Token圖片位置"
"Mirror Image Horizontally","水平鏡像"
"Mirror Image Vertically","垂直鏡像"
"Token Opacity","Token不透明度"
"Configure the Token's position, orientation, and elevation.","設定Token的位置、方向和高度。"
"Lock Rotation","鎖定旋轉"
"Randomize Wildcard Images","隨機化圖片"
"Configure the resource bars which are tracked for the Token.","設定Token跟踪顯示的屬性條。"
"Bar 1 Attribute","屬性條1 屬性"
"Bar 1 Data","屬性條1 資料"
"Bar 2 Attribute","屬性條2 屬性"
"Bar 2 Data","屬性條2 資料"
"Display Bars","顯示屬性條"
"Token Configuration","設定Token"
"Prototype Token","Token範本"
"Tint Color","著色色調"
"Update Token","更新Token"
"Configure the vision capability and light emission of this Token.","設定Token的視覺能力和其光照範圍。"
"Has Vision","擁有視覺"
"Bright Vision","黑暗視覺"
"Dim Vision","昏暗視覺"
"Sight Angle","視覺角度"
"This Token references an Actor which no longer exists within the World.","此Token引用了世界中不再存在的 角色。"
"You do not own any Token with vision in this Scene","在這個場景中，你沒有任何具有視覺的Token"
"Hostile","敵對"
"Neutral","中立"
"Friendly","友好"
"Never Displayed","從不顯示"
"When Controlled","控制時顯示"
"Hovered by Owner","擁有者懸停時顯示"
"Hovered by Anyone","任何人懸停時顯示"
"Always for Owner","始終向擁有者顯示"
"Always for Everyone","始終向所有人顯示"
"None","無"
"Player","玩家"
"Trusted Player","受信玩家"
"Assistant GM","GM助手"
"Game Master","GM"
"Password","訪問密碼"
"User Role","用戶組"
"User Name","用戶名"
"Show Password","顯示訪問密碼"
"Create Additional User","新增用戶"
"Delete User","删除用戶"
"Save and Return","啓動遊戲"
"User Management","用戶管理"
"Game users updated successfully, returning to the game World.","已成功更新遊戲用戶，正在回到遊戲世界。"
"You must have at least one Game Master user within your World.","你必須爲你的世界設定至少一個GM用戶。"
"This user will be permanently deleted from the game world.","此用戶將從遊戲世界中永久刪除。"
"You are about to delete a Game Master user!","您將要刪除一個 Game Master 帳號！"
"Wall Configuration","設定牆體"
"Wall Configuration [Multiple]","設定牆體 [多重]"
"Customize how this wall segment restricts movement or senses.","自定義牆體如何限制移動和視線。"
"Wall Coordinates","牆體坐標"
"Movement Restrictions","限制移動"
"Sight Restriction","視線限制"
"Sound Restriction","聲音限制"
"Wall Direction","牆方位"
"Is Door?","門？"
"Door State","門狀態"
"Update Wall","更新牆"
"World Details","世界細節"
"World Description","世界描述"
"Audio/Video Configuration","語音/視訊設定"
"Configure Audio/Video","設定語音/視訊"
"Configure settings specific to the integrated Audio/Video WebRTC component","設定特定於集成語音/視訊WebRTC組件的設定"
"<Unknown Device>","<未知裝置>"
"Video Capture Device","視訊捕獲裝置"
"Select which video capture device you wish to use, if any.","選擇你想要用來捕獲視訊的裝置。"
"Audio Capture Device","音訊捕獲裝置"
"Select which audio capture device you wish to use, if any.","選擇你想要用來捕獲音訊的裝置。"
"Audio Output Device","音訊輸出裝置"
"Select which audio output device you wish to use.","選擇你想要用來播放音訊的裝置。"
"Audio/Video communication was unable to start because one of the configured input devices was unavailable.","設定的輸入裝置中有裝置不可用，語音/視訊通信無法啓動。"
"Disable Sending Camera","禁用攝像頭源"
"Disable Sending Audio","禁用音訊來源"
"Disable Audio Output","禁用音訊輸出"
"Default Device","預設裝置"
"Unavailable Device (will use Default)","不可用裝置（將使用預設裝置）"
"Choose Signalling Server","選擇通信服務器"
"Signalling Server URL","通信服務器地址"
"Foundry VTT","Foundry VTT"
"Custom Server","自訂服務器"
"Signalling Server Username","通信服務器用戶名"
"Signalling Server Password","通信服務器密碼"
"Relay Server Configuration","設定中繼服務器"
"Provided by Signalling Server","由通信服務器提供"
"Custom Relay Server","自訂中繼服務器"
"Relay Server URL","中繼服務器URL"
"Relay Server Username","中繼服務器用戶名"
"Relay Server Password","中繼服務器密碼"
"General","常規"
