"en","ar"
"Hexagonal Columns - Odd","أعمدة سداسية - فردية"
"Hexagonal Columns - Even","أعمدة سداسية - زوجية"
"Grid Size","حجم الشبكة"
"Grid Offset Position","موازنة موقع الشبكة"
"Grid Scale","مقياس الشبكة"
"Distance","المسافة"
"Units","وحدات القياس"
"Ambience and Atmosphere","البيئة والجو"
"Configure additional integrations between this scene and Journal Entries, Audio Playlists, or Weather Effects.","إعداد إندماجات إضافية بين هذا المشهد ومدخلات المذكرة، أو قوائم التشغيل الصوتية، أو التأثيرات الجوية."
"Details and Dimensions","التفاصيل والأبعاد"
"Configure the basic details for this scene and permissions which control its visibility.","إعداد التفاصيل الأساسية لهذا المشهد والصلاحيات التي تتحكم برؤيته."
"Grid Configuration","إعداد الشبكة"
"Configure the grid dimensions which are used to measure token movement in this scene.","إعداد أبعاد الشبكة التي تستخدم لقياس حركة الرمز في هذا المشهد."
"Vision and Lighting","الرؤية والإضاءة"
"Configure the vision, lighting, and fog of war settings which apply to this Scene.","إعداد إعدادات الرؤية، والإضاءة، وضباب الحرب التي تنطبق في هذا المشهد."
"Initial View Position","موقع الرؤية الإبتدائية"
"Capture Current View","إلتقاط الرؤية الحالية"
"Set a default camera position that is displayed the first time this Scene is viewed.","وضع موقع كاميرا اعتيادي يظهر أول مرة تتم رؤية هذا المشهد فيه."
"Loading {name}","تحميل {name}"
"Navigation Name","الاسم الملاحي"
"An alternative name for the Scene that is displayed in the Navigation Bar instead of the actual Scene name.","اسم بديل للمشهد يظهر في الشريط الملاحي بدلاً من الاسم الحقيقي للمشهد."
"Scene Notes","ملاحظات المشهد"
"Padding Percentage","نسبة البطانة"
"pixels","البكسلات"
"Preload Scene","تحميل المشهد مسبقاً"
"Scene Name","اسم المشهد"
"View Scene","رؤية المشهد"
"Journal Notes","ملاحظات المذكرة"
"A linked Journal Entry which provides notes for the Game Master about this Scene.","مدخلة مذكرة مرتبطة توفر ملاحظات لمنظم اللعبة عن هذا المشهد."
"Navigation","الملاحة"
"Offset Background","موازنة الخلفية"
"Horizontal","أفقياً"
"Vertical","عمودياً"
"Token Vision","رؤية الرمز"
"Restrict visibility within this Scene to the shared vision of all controlled Tokens. If disabled, the entire Scene is visible.","تقييد الرؤية داخل هذا المشهد بناءً على الرموز المتحكم بها ورؤيتهم."
"Toggle Navigation","تبديل الملاحة"
"units","وحدات القياس"
"Weather Effect","تأثير جوي"
"Configure an active Weather Effect which is present within this Scene.","إعداد تأثير جوي نشط موجود في هذا المشهد."
"Configure Settings","ضبط الإعدادات"
"Controls Reference","مراجع التحكم"
"View Documentation","رؤية التوثيق"
"Invitation Links","روابط الدعوة"
"Manage Modules","إدارة الوحدات"
"View Active Modules","رؤية الوحدات النشطة"
"Configure Game Settings","ضبط إعدادات اللعبة"
"Update Software","تحديث البرنامج"
"Log Out","خروج"
"User Management","ضبط اللاعبين"
"Reset Defaults","إعادة تعيين الإعتياديات"
"Save Changes","حفظ التغييرات"
"Return to Setup","العودة إلى الإعدادات الرئيسية"
"General Information","المعلومات العامة"
"Game Settings","إعدادات اللعبة"
"Help and Documentation","المساعدة والتوثيق"
"Game Access","وصول اللعبة"
"Community Wiki Pages","صفحات ويكي المجتمع"
"Token Vision Animation","تحريك رؤية الرمز"
"Animate Token vision and light changes during Token movement animations. Disabling this will improve performance for lower-end machines.","تحريك رؤية الرمز وتغيرات الضوء أثناء تحريكات حركة الرمز. إلغاء هذه سوف يحسن الأداء في الأجهزة الأدنى."
"Light Source Animation","تحريك مصدر الضوء"
"Allow light source animations. Disabling this will improve performance for lower-end machines.","السماح بتحريك مصدر الضوء. إلغاء هذا سوف يحسن الأداء في الأجهزة الأدنى."
"Disable Pixel Resolution Scaling","إلغاء مقايسة دقة البسكلات"
"Disable automatic scaling of the canvas resolution to the pixel density of the display device. This will result in a reduction in visual quality but an improvement in application performance for high-density displays.","إلغاء المقايسة التلقائية لدقة اللوحة إلى كثافة البكسلات في جهاز العرض. هذا سوف ينتج انخفاض الجودة المرئية لكن تحسين في أداء التطبيق للشاشات ذات الكثافة العالية."
"Language Preference","خيارات اللغة"
"Change the displayed language for Foundry Virtual Tabletop.","تغيير اللغة المعروضة في FoundryVTT."
"Left-Click to Release Objects","نقرة رز الأيسر للفأرة لإطلاق الأشياء."
"When enabled, a left click on empty canvas space will release any currently controlled objects. If disabled, objects are released by selecting an empty space, shift-clicking the object, or pressing the escape key.","عند التفعيل، نقرة بالزر الأيسر للفأرة على مساحة لوحة فارغة سوف تطلق الأشياء المتحكم بها. إذا ألغيت، الأشياء تطلق عبر إختيار مساحة فارغة، أو النقر على الشيء أثناء الضغط على مفتاح Shift، أو الضغط على مفتاح Escape."
"Enable Chat Bubbles","تفعيل فقاعات المحادثة"
"Configure whether or not chat bubbles will be displayed above Tokens for in-character and emote type chat messages.","إعداد ما إذا كانت فقاعات المحادثة تظهر فوق الرموز لتقمص الشخصية ورسائل المحادثة من نوع emote."
"Pan to Token Speaker","تحريك الكاميرا إلى الرمز المتحدث"
"Configure whether to automatically pan the camera to a speaking token when it displays a chat bubble.","Cإعداد ما إذا الكاميرا تتحرك تلقائياً إلى الرمز المتحدث عندما تظهر فقاعة محادثة."
"Maximum Framerate","أقصى معدل الإطارات"
"Limit the maximum framerate at which Foundry Virtual Tabletop will render canvas updates. Lowering this value may improve application performance for less powerful hardware.","حصر أقصى معدل الإطارات الذي تعالجها FoundryVTT في تحديثات اللوحة. خفض هذه القيمة سوف يحسّن أداء التطبيق للمعدات الأقل قوة."
"Zoomed Texture Antialiasing","تحسين حواف النيسج المكبر"
"Compute mipmaps to antialias sprite textures at lower levels of zoom. This is a client setting as different users may prefer different visual styles.","حساب mipmaps إلى تحسين حواف نسيج الصور الصغيرة في المستويات الدنيا للتكبير. هذا إعداد العميل حيث قد يرغب مستخدم آخر أنماط رؤية مختلفة."
"Enable Soft Shadows","تفعيل الظلال الناعمة"
"Enable soft shadows for more beautiful dynamic lighting, or disable it for improved performance on machines with lower-end hardware.","تشغيل الظلال الناعمة لإضائة ديناميكية أجمل، أو إلغاءها لتحسين أداء الأجهزة ذات المعدات المنخفضة."
"Core Settings","الإعدادات الأساسية"
"Module Settings","إعدادات الوحدات"
"System Settings","إعدادات النظام"
"Token Drag Vision","رؤية سحب الرمز"
"When enabled, vision and lighting for a Token is previewed in real time during a left-click drag workflow. This is disabled by default because it may promote undesirable meta-gaming behaviors.","عند التفعيل، الرؤية والضوء للرمز يمكن مشاهدتهم أثناء عملية سحب بالنقر الأيسر. هذا ملغي إعتيادياً لأنه يشجع سلوكيات meta-gaming."
"Core Software Version","إصدار البرنامج الأساسي"
"If an update to the core Foundry Virtual Tabletop software is available, you may apply it here. You are currently using version {coreVersion}.","إذا وجد تحديث للنظام الأساسي لبرنامج FoundryVTT، يمكنك تطبيقه هنا. أنت الآن تستخدم الإصدار {coreVersion}."
"Default Language","اللغة الإعتيادية"
"You may choose a default language for the application by choosing a module which provides the core translation files for that language.","يمكنك إختيار اللغة الإعتيادية للتطبيق بإختيار وحدة توفر ملفات ترجمة أساسية في تلك اللغة."
"Software Configuration","إعدادات البرنامج"
"Software Update","تحديث البرنامج"
"A {type} update to {channel} version {version} is now available!","تحديث جديد لـ {channel} الإصدار {version} متوفر الآن!"
"Configuration","إعدادات"
"These fields customize the behavior of the Foundry Virtual Tabletop application. Changes will require the server to restart.","هذه الحقول تخصص سلوكيات تطبيق FoundryVTT. التغييرات سوف تتطلب إعادة تشغيل الخادم."
"Optimize Static Files","تحسين الملفات الساكنة"
"Reduce network traffic by serving minified static JavaScript and CSS files. Enabling this setting is recommended for most users, but module developers may wish to disable it.","تقليل ازدحام الشبكة عبر تقديم ملفات JavaScript وCSS ساكنة مصغرة. ينصح تفعيله لمعظم المستخدمين، لكن مطوري الوحدات قد يرغبون في إلغاءه."
"Add-on Modules","الوحدات الإضافية"
"Game Systems","أنظمة اللعب"
"Configuration and Setup","الإعداد والتنصيب"
"Update Software","تحديث البرنامج"
"Update All","تحديث الجميع"
"Software Update Channel","قناة تحديث البرنامج"
"You may choose an update channel to control the types of updates you wish to receive for the core Foundry Virtual Tabletop software. If you do not have a specific reason to change this, it is recommended to consume the Release channel.","قد تود إختيار قناة تحديث للتحكم بأنواع التحديثات التي تود الحصول عليها لبرنامج FoundryVTT الأساسي. إذا ليس لديك سبب معين لتغيير هذا، ينصح بإستخدام قناة النشر."
"Update","التحقق من التحديث"
"Check For Update","البحث عن تحديثات"
"Alpha (Unstable)","ألفا (غير مستقر)"
"Beta (Release Candidate)","بيتا (مرشح للنشر)"
"Release (Stable)","نشر (مستقر)"
"Checking the Force Update box will force your version to the requested channel. Do not use this option unless you know exactly what you are doing.","تعليم صندوق فرض التحديث سوف يفرض إصدارك إلى القناة المطلوبة. لا تستخدم هذا الخيار إلا إذا كنت تعلم تماماً ماذا تفعل."
"Uninstall","إلغاء التنصيب"
"Create World","صنع عالم"
"Delete World","حذف عالم"
"Edit World","تحرير عالم"
"Launch World","إطلاق عالم"
"Game Worlds","عوالم الألعاب"
"Requires Update","يتطلب تحديث"
"Requires System Update","النظام يتطلب تحديث"
"Requires Dependency","يتطلب تبعيات"
"Requires Core Update","يتطلب تحديث الأساس"
"Compatibility Unknown","التوافق غير معروف"
"Compatibility Risk","مخاطرة توافق"
"Manifest URL","رابط URL البيان"
"You can install any package by providing a direct link to its JSON manifest URL.","يمكنك تنصيب أي حزمة بتوفير رابط مباشر إلى رابط URL بيان JSON."
"Install Module","تنصيب وحدة"
"Install System","تنصيب نظام"
"{type} {name} was installed successfully","تم تنصيب {type} {name} بنجاح"
"Installation failed: {message}","فشل التنصيب: {message}"
"Install World","تنصيب عالم"
"uninstalled successfully","نجح إلغاء التنصيب"
"Uninstallation failed","فشل إلغاء التنصيب"
"updated successfully","نجح التحديث"
"Update failed","فشل التحديث"
"Loading Available Packages","تحميل الحزم المتوفرة"
"Filter Packages","تصفية الحزم"
"You can filter available packages by name.","يمكنك تصفية الحزم المتوفر حسب الاسم."
"Package Categories","تصنيفات الحزم"
"Installed","منصب"
"Not Owned","غير مملوك"
"All Packages","جميع الحزم"
"Installed Only","المنصبة فقط"
"Uninstalled Only","الغير منصبة فقط"
"{title} has {number} dependencies which are not yet installed.","الحزمة التي قمت بتنصيبها لديها {number} تبعيات غير منصبة بعد."
"Install Package Dependencies","تنصيب حزم التبعيات"
"You may not be able to use this package if these dependencies are not present. Do you wish to install them automatically?","قد لا تستطيع استخدام هذه الحزمة إذا لم تتوفر التبعيات. هل تود تنصيبهم تلقائياً؟"
"You have chosen not to install the required dependency packages for {title}. You will need to install them manually.","لقد اخترت ألا تقوم بتنصيب الحزم التبعية لـ {title}. سوف تحتاج أن تنصبهم يدوياً."
"Successfully installed {title} and {number} dependencies.","تم تنصيب {title} و {number} تبعيات بنجاح."
"An update is available for {name} but cannot be installed because it requires core software version {vreq} and you are currently using version {vcur}.","يوجد تحديث متوفر لـ {name} لكن لا تستطيع تنصيبه لأنه يتطلب اصدار البرنامج الأساسي {vreq} وأنت تستخدم الإصدار {vcur}."
"In order to update Foundry Virtual Tabletop you will need to be connected to the internet and have a valid software license.","لتحديث FoundryVTT يجب أن تكون مرتبطاً بالإنترنت ولديك رخصة برنامج صحيحة."
"This update is a new major version of the Foundry Virtual Tabletop software. Installing this update will require some installed modules which may not yet be compatible to be disabled.","هذا التحديث هي نسخة جديدة كبرى من برنامج FoundryVTT. تنصيب هذا التحديث سوف يتطلب إلغاء بعض الوحدات المنصبة التي قد لا تكون متوافقة بعد."
"Download Update {version}","تحميل التحديث {version}"
"An update to Foundry Virtual Tabletop version {version} is available!","تحديث FoundryVTT الإصدار {version} متوفر الآن!"
"World Data Migration Required","نقل بيانات العالم مطلوب"
"<p>Launching the world <strong>{world}</strong> will migrate its data model from an older core software version {oldVersion} to the currently installed version {newVersion}.</p><p>As part of this process, <strong>{nIncompatible} out of {nModules} installed modules</strong> which may not yet be compatible with the new version will be automatically disabled. You may re-enable them manually if you wish.</p><p>Please check for any available updates to your game systems and modules, and please be sure to periodically back up your critical world data. Would you like to proceed?</p>","<p> إطلاق عالم <strong>{world}</strong> سوف ينقل بيانات النموذج من نظام أساسي قديم ذا إصدار {oldVersion} إلى الإصدار المنصب حالياً {newVersion}.</p><p> كجزء من هذه العملية، <strong>{nIncompatible} من بين {nModules} حزم منصبة</strong> والتي قد لا تكون متوافقة مع الإصدار الجديد سوف يتم إلغاء تفعيلها تلقائياً. تستطيع إعادة تفعيها يدوياً إذا أردت.</p><p> الرجاء التحقق من وجود أي تحديثات متوفرة لأنظمة اللعب والوحدات، وتأكد من عمل نسخ إحتياطية من بيانات عالمك المهمة. هل تود الإستمرار؟</p>"
"Foundry Virtual Tabletop &bull; Administrator Access","FoundryVTT  &bull; وصول مدير البرنامج"
"Administrator Password","كلمة مرور مدير البرنامج"
"You may assign a special administrator password which is required in order to access this setup screen.","يمكنك تعيين كلمة مرور مدير البرنامج خاصة والتي تكون مطلوبة للوصول إلى صفحة الإعداد هذه."
"Admin Log Out","خروج مدير البرنامج"
"AWS Configuration Path","مسار إعداد AWS"
"You may provide an AWS configuration file for S3 integration. The path is absolute or relative to the Config subdirectory of user data.","يمكنك توفير ملف إعداد AWS من أجل إدماج S3. المسار مطلق أو تقريبي للسجل الفرعي الإعدادي لبيانات المستخدم."
"Port","منفذ"
"You may choose which port Foundry Virtual Tabletop uses for TCP connection traffic and enable or disable Universal Plug and Play (UPnP).","يمكنك إختيار أي منفذ تستخدمه FoundryVTT لمرور اتصال TCP وتفعيل أو إلغاء التوصيل والتشغيل العالمي (UPnP)."
"Enable UPnP?","تفعيل UPnP؟"
"User Data Path","مسار بيانات المستخدم"
"Configure the location where your user data including worlds, systems and modules are stored.","إعداد الموقع الذي سوف تحفظ فيه بيانات المستخدم، متضمنة العوالم والأنظمة والوحدات."
"Default World","العام الإعتيادي"
"You may choose one of your available worlds to automatically launch when the software is started.","يمكنك إختيار إحدى عوالمك المتوفرة لتنطلق تلقائياً عند بدء البرنامج."
"SSL Certificate","Sشهادة SSL"
"SSL Private Key","مفتاح SSL الخاص"
"You may run the server using secure socket layer (SSL) encryption by providing paths to certificate and key files. Paths are absolute or relative to the Config subdirectory in user data.","يمكنك تشغيل خادمك بإستخدام تشفير طبقة مقبس آمنة (SSL) عبر توفير مسارات إلى ملفات الشهادة والمفتاح. المسارات مطلقة أو المقاربة إلى سجل الإعدادات الفرعي في بيانات المستخدم."
"This Sheet","هذه الصفحة"
"Default Sheet","الصفحة الإعتيادية"
"Override which sheet type you would like to use for this specific entity.","فرض تصنيف الصفحة الذي تود إستخدامه مع هذا الكيان تحديداً."
"Set the default sheet type used for this entity type (GM Only).","وضع تصنيف الصفحة الإعتيادي لهذا النوع من الكيانات (منظم اللعبة فقط)."
"You do not have sufficient permissions to view this entity sheet.","ليست لديك الصلاحية الكافية لرؤية صفحة هذا الكيان."
"Save Sheet Configuration","حفظ إعدادات الصفحة"
"View Character Artwork","رؤية رسمة الشخصية"
"Collapse or Expand","طي أو توسعة"
"Delete","حذف"
"Duplicate","استنساخ"
"Export Data","تصدير البيانات"
"Ambient Sound Configuration","إعدادات البيئة الصوتية"
"Configure the ambient sound to play an audio file when tokens move within it's radius.","إعداد البيئة الصوتية لتشغيل ملف صوتي عندما رموز تتحرك ضمن قطرها."
"Create Ambient Sound","صنع صوت بيئي"
"Update Ambient Sound","تحديث الصوت البيئي"
"Source File Path","مسار ملف المصدر"
"Effect Radius","قطر التأثير"
"Local Sound","صوت محلي"
"Global Sound","صوت عالمي"
"Volume Easing","تدرج ارتفاع الصوت"
"Adjust the volume level of the sound as Tokens move closer to the origin.","تعديل مستويات ارتفاع الصوت بإقتراب الرموز من المصدر."
"Maximum Volume","أقصى إرتفاع للصوت"
"Define the maximum volume of the sound at it's origin point (if easing) or everywhere in the area.","تحديد أقصى إرتفاع للصوت في نقطة أصله (إذا تدرج) أو في كل مكان بالمساحة."
"Clear Folder","مسح مجلد"
"Folder Color","لون المجلد"
"Create Folder","صنع مجلد"
"Collapse All Folders","طي جميع المجلدات"
"Delete All","حذف الكل"
"Edit Folder","تحرير المجلد"
"Export to Compendium","إصدار إلى جامع"
"Folder Name","اسم المجلد"
"Remove Folder","إزالة المجلد"
"Alphabetical","أبجدياً"
"Manual","يدوياً"
"Update Folder","تحديث المجلد"
"Export Content","تدصير المجتوى"
"You may export contained entities from this folder into an unlocked Compendium pack of the appropriate type.","يمكنك تصدير الكيانات المحتواة في هذا المجلد إلى حزمة جامع غير مغلقة من النوع المناسب."
"Destination Pack","حزمة الوجهة"
"Merge By Name?","دمج حسب الاسم؟"
"There are no unlocked compendium packs available for {type} entities which you can export to.","لا توجد حزم جامع غير مغلقة متوفرة لكيانات {type} تستطيع التصدير إليها."
"Create Rollable Table","صنع جدول رمي"
"Create a new Rollable Table entity using the contents of this Folder as table results?","صنع كيان جدول رمي جديد بإستخدام محتويات هذا المجلد كنتيجة الجدول؟"
"None","لا يوجد"
"Limited","محدود"
"Observer","مشاهد"
"Owner","مالك"
"Default","إعتيادي"
"No Change","لا تغيير"
"All Players","جميع اللاعبين"
"Configure Permissions","ضبط الصلاحيات"
"Open Permission Configuration","فتح ضبط الصلاحيات"
"Fine tune the permitted actions which are allowed to Users for each role.","ضبط الأفعال المصرح بها للمستخدمين في كل وظيفة."
"Permission Configuration","ضبط الصلاحيات"
"Configure which User role has permission to perform which action. Note that some actions cannot be disabled for Game Master users. Some changes may not take effect until the game is reloaded.","ضبط أي وظيفة مستخدم لديها الصلاحية لأداء أي فعل. إنتبه أن بعض الأفعال لا يمكن إلغاءها لمستخدمي منظم اللعبة. بعض التغييرات قد لا تتنشط إلى أن يتم إعادة تحميل اللعبة."
"Configure access for all Entities within this Folder. Changes will be applied to all contained Entities, excluding the contents of sub-folders.","ضبط الوصول لكل الكيانات في هذا المجلد. التغييرات سوف يتم تطبيقها لكل الكيانات المحتواة، بإستثناء المجلدات الفرعية."
"Configure access to this specific Entity, allowing each User to be assigned a different level of visibility.","ضبط الوصول إلى هذا الكيان تحديداً، سامحاً لكل مستخدم درجة مختلفة من الرؤية."
"Permission","صلاحية"
"User Role Permissions","صلاحيات وظيفة المستخدم"
"Reset Defaults","إعادة ضبط الإعتياديات"
"Save Configuration","حفظ الإعدادات"
"Allow Broadcasting Audio","السماح ببث الصوت"
"Allow players with this role to broadcast audio when using A/V chat integration.","السماح للاعبين ذوي هذه الوظيفة البث الصوتي عند استخدام ادماجية محادثة الصوت/الصورة."
"Allow Broadcasting Video","السماح ببث فيديو"
"Allow players with this role to broadcast video when using A/V chat integration.","السماح للاعبين ذوي هذه الوظيفة البث الفيديو عند استخدام ادماجية محادثة الصوت/الصورة."
"Create New Actors","صنع ممثلين جدد"
"Allow players with this role to create new Actors in the World.","السماح للاعبين ذوي هذه الوظيفة صنع ممثلين جدد في العالم."
"Use Drawing Tools","استخدام أدوات الرسم"
"Allow players with this role to create Drawings using the drawing tools.","السماح للاعبين ذوي هذه الوظيفة صنع رسومات بإستخدام أدوات الرسم."
"Create New Items","صنع قطع جديدة"
"Allow players with this role to create new Items in the World.","السماح للاعبين ذوي هذه الوظيفة صنع قطع جديدة في العالم."
"Use File Browser","تصفع مستكشف الملفات"
"Allow players with this role to browse through available files in the File Browser.","السماح للاعبين ذوي هذه الوظيفة التصفح عبر الملفات المتوفرة في مستكشف الملفات"
"Upload New Files","رفع ملفات جديدة"
"Allow players with this role to upload content to the server using the File Browser.","السماح للاعبين ذوي هذه الوظيفة رفع المحتوى إلى الخادم مستخدماً مستكشف الملفات."
"Create Journal Entries","صنع مدخلات مذكرة"
"Allow players with this role to create new Journal Entries in the Journal sidebar.","السماح للاعبين ذوي هذه الوظيفة صنع مدخلات مذكرة في شريط المذكرة الجانبي."
"Use Script Macros","استخدام Script Macros"
"Allow players with this role to use JavaScript macros which access the API.","السماح للاعبين ذوي هذه الوظيفة بإستخدام JavaScript macros التي تستطيع الوصول إلى API."
"Whisper Private Messages","همس الرسائل الخاصة"
"Allow players with this role whisper private messages that the Game Master cannot see.","السماح للاعبين ذوي هذه الوظيفة همس الرسائل الخاصة التي لا يستطيع منظم اللعبة رؤيتها."
"Modify Configuration Settings","تعديل ضبط الإعدادات"
"Allow players with this role to modify game settings and enable or disable modules.","السماح للاعبين ذوي هذه الوظيفة تعديل إعدادت اللعبة وتشغيل أو إلغاء الوحدات."
"Display Mouse Cursor","إظهار مؤشر الفأرة"
"Display the position of the player's mouse cursor which illustrates where the user is looking on the canvas.","إظهار موقع مؤشر فأرة اللاعب التي توضح أين ينظر في اللوحة."
"Display Ruler Measurement","Dإظهار مقياس المسطرة"
"Display measurement using the ruler tool to other connected players.","إظهار القياس مستخدماً أداة المسطرة للاعبين المرتبطين الآخرين."
"Create Measured Template","صنع قالب قياسي"
"Allow players with this role to create templates for area-of-effect measurement.","السماح للاعبين ذوي هذه الوظيفة صنع قوالب قياس مساحة التأثير."
"Create New Tokens","صنع رموز جديدة"
"Allow players with this role to place Tokens for Actors they own on the game canvas.","السماح للاعبين ذوي هذه الوظيفة وضع رموز للمثلين الذين يمتلكونهم على لوحة اللعبة."
"Configure Token Settings","ضبط إعدادات الرموز"
"Allow players with this role to configure the settings for Tokens that they own.","السماح للاعبين ذوي هذه الوظيفة ضبط إعدادات الرموز التي يمتلكونها."
"Open and Close Doors","فتح وإغلاق الأبواب"
"Allow players with this role interact with doors defined on the Walls Layer.","السماح للاعبين ذوي هذه الوظيفة التفاعل مع الأبواب المعرّفة على طبقة الجدران."
"Import Data","إستيراد البيانات"
"Create Scene","صنع مشهد"
"Search Scenes","بحث المشاهد"
"Chat Log","سجل المحادثة"
"Combat Tracker","متقفي القتال"
"Scenes Directory","سجل المشاهد"
"Actors Directory","شجل الممثلين"
"Items Directory","سجل القطع"
"Journal Entries","مدخلات المذكرة"
"Audio Playlists","قوائم التشغيل الصوتية"
"Compendium Packs","حزم الجوامع"
"Game Settings","إعدادات اللعبة"
"Rollable Tables","جداول الرمي"
"View Token Artwork","رؤية رسمة الرمز"
"Jump To Pin","الإنتقال إلى المسمار"
"Animate Roll Tables?","تحريك جداول الرمي؟"
"Configure whether to display a roulette-style animation when drawing from a Roll Table.","ضبط ما إذا تحريكات بإسلوب رولت تظهر عندما يتم السحب من جدول رمي."
"Create Table","صنع جدول"
"Table Description","وصف الجدول"
"Display Roll to Chat?","إظهار الرمية في المحادثة؟"
"Roll Table Formula","معادلة جدول الرمي"
"Search Tables","بحث الجداول"
"Table Configuration","ضبط الجدول"
"Normalize Result Weights","تطبيع أوزان النتائج"
"Draw with Replacement?","السحب مع بديل؟"
"Reset","إعادة تعيين"
"Add New Result","إضافة نتيجة جديدة"
"Result Type","نوع النتيجة"
"Result Details","تفاصيل النتائج"
"Delete Result","حذف النتيجة"
"Weight","الوزن"
"Range","المدى"
"Roll","رمي"
"Toggle Drawn Status","تبديل حالة السحب"
"Update","تحديث"
"Cone Template Type","نوع قالب المخروط"
"Choose how the area of effect for cone templates should be defined.","إختر كيف يتم تعريف مساحة تأثير قالب المخروط."
"Flat","مستوي"
"Round","مدور"
"Assign Token","تعيين رمز"
"You must select one existing Token to assign as the new prototype configuration.","يجب أن تختار رمزاً موجود مسبقاً لتعيينه كضبط النموذج الجديد."
"Updated prototype Token configuration for {name}","تحديث ضبط رمز النموذج لـ {name}"
"Attribute Bars","شرائط السمات"
"Single Values","قيم أحادية"
"Represented Actor","الممثل المُمَثّل"
"Token Disposition","سلوك الرمز"
"Configure which Actor this Token is associated with.","Configure which Actor this Token is associated with."
"Link Actor Data","ربط بيانات الممثل"
"Token Name","اسم الرمز"
"Display Name","الاسم الظاهر"
"Alternate Actor Tokens","رموز ممثل بديلة"
"Configure the Token image and its displayed size and scale.","ضبط صورة الرمز وحجم إظهاره والقياس."
"Token Image Path","مسار صورة الرمز"
"Mirror Image Horizontally","عكس الصورة أفقياً"
"Mirror Image Vertically","عكس الصورة عمودياً"
"Configure the Token's position, orientation, and elevation.","ضبط موقع الرمز، والإتجاه، والإرتفاع."
"Lock Rotation","إغلاق الدوران"
"Randomize Wildcard Images","صور بديلة عشوائية"
"Configure the resource bars which are tracked for the Token.","ضبط أشرطة الموارد التي تتابعها للرمز."
"Bar 1 Attribute","شريط السمة 1"
"Bar 1 Data","بيانات السمة 1"
"Bar 2 Attribute","شريط السمة 2"
"Bar 2 Data","بيانات السمة 2"
"Display Bars","إظهار الأشرطة"
"Token Configuration","ضبط الرمز"
"Prototype Token","نموذج الرمز"
"Tint Color","لون التظليل"
"Update Token","تحديث الرمز"
"Configure the vision capability and light emission of this Token.","ضبط قدرات الرؤية وإنبعاث الضوء لهذا الرمز."
"Has Vision","لديه رؤية"
"Bright Vision","رؤية ساطعة"
"Dim Vision","رؤية خافتة"
"Sight Angle","زاوية الرؤية"
"Hostile","معادي"
"Neutral","محايد"
"Friendly","صديق"
"Never Displayed","عدم الإظهار أبداً"
"When Controlled","عند التحكم به"
"Hovered by Owner","عند المرور من قبل المالك"
"Hovered by Anyone","عند المرور من قبل أي شخص"
"Always for Owner","دائماً للمالك"
"Always for Everyone","دائماً للجميع"
"None","لا يوجد"
"Player","لاعب"
"Trusted Player","لاعب موثوق به"
"Assistant GM","مساعد منظم اللعبة"
"Game Master","منظم اللعبة"
"Password","مفتاح الوصول"
"User Role","وظيفة المستخدم"
"User Name","اسم المستخدم"
"Show Password","إظهار مفتاح الوصول"
"Create Additional User","صنع مستخدم إضافي"
"Delete User","حذف مستخدم"
"Save and Return","حفظ والعودة"
"User Management","إدارة المستخدمين"
"Game users updated successfully, returning to the game World.","تم تحديث مستخدمي اللعبة بنجاح، جاري العودة إلى عالم اللعبة."
"You must have at least one Game Master user within your World.","يجب أن يكون لديك مستخدم منظم لعبة واحد على الأقل في عالمك."
"Wall Configuration","ضبط الجدار"
"Wall Configuration [Multiple]","ضبط الجدار [متعدد]"
"Customize how this wall segment restricts movement or senses.","تخصيص كيف تقوم تقسيمات الجدار هذه بمنع الحركة أو الحواس."
"Wall Coordinates","إحداثيات الجدار"
"Movement Restrictions","موانع الحركة"
"Wall Direction","إتجاه الجدار"
"Is Door?","هل هذا باب؟"
"Door State","حالة الباب"
"Update Wall","تحديث الجدار"
"World Details","تفاصيل العالم"
"World Description","وصف العالم"
"Audio/Video Configuration","ضوابط الصوت والفيديو"
"Configure Audio/Video","ضبط الصوت والفيديو"
"Configure settings specific to the integrated Audio/Video WebRTC component","ضبط الإعدادات الخاصة بإدماج مكونات WebRTC الخاصة بالصوت والفيديو"
"<Unknown Device>","<جهاز غير معروف>"
"Video Capture Device","جهاز التقاط الفيديو"
"Select which video capture device you wish to use, if any.","إختر أي جهاز التقاط فيديو تريد إستخدامه، إن وجد."
"Audio Capture Device","جهاز التقاط الصوت"
"Select which audio capture device you wish to use, if any.","إختر أي جهاز التقاط صوت تريد إستخدامه، إن وجد."
"Audio Output Device","جهاز مخرجات الصوت"
"Select which audio output device you wish to use.","اختر أي جهاز مخرجات الصوت تريد إستخدامه."
"Audio/Video communication was unable to start because one of the configured input devices was unavailable.","التواصل عبر الصوت/الفيديو لم يكن قادراً على البدء لأن إحدى أجهزة الإدخال المعدّة ليس متوفراً."
"Disable Sending Camera","إلغاء إرسال الكاميرا"
"Disable Sending Audio","إلغاء إرسال الصوت"
"Disable Audio Output","إلغاء مخرجات الصوت"
"Default Device","الجهاز الإعتيادي"
"Unavailable Device (will use Default)","جهاز غير متوفر (سوف يتم استخدام الاعتيادي)"
"Choose Signalling Server","إختر خادم البث"
"Signalling Server URL","رابط URL الخاص بخادم الث"
"Foundry VTT","Foundry VTT"
"Custom Server","خادم مخصص"
"Signalling Server Username","اسم مستخدم خادم البث"
"Signalling Server Password","كلمة مرور خادم البث"
